Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: May 28, 2026 - Next Release Date June 25, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"            Equipment",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5.0,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.3,29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,670.6,721.9,794.9,862.3,893.4,845.4,670.3,777.0,881.3,983.4,1035.3,1109.1,1144.1,1119.8,1160.0,1227.6,1240.9,1112.5,1196.3,1305.8,1404.7,1484.3,1643.7
12,"            Intellectual property products",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,694.6,741.5,778.9,843.0,906.2,992.2,1074.9,1136.2,1263.1,1423.7,1524.5,1603.9,1713.7
13,"        Residential",4.1,2.5,1.9,0.9,0.7,1.0,1.4,1.8,2.2,2.2,3.2,3.6,4.2,2.4,1.6,1.5,1.8,8.0,12.2,15.8,14.8,20.7,18.7,18.9,19.7,21.4,25.4,24.0,22.6,22.8,28.6,26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.1,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,511.5,564.0,640.9,710.2,773.9,811.9,827.1,920.5,1132.4,1178.5,1114.0,1182.8,1192.7
14,"    Change in private inventories",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6.0,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5.0,4.0,0.8,-0.4,3.9,3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,20.0,14.1,64.1,57.5,69.0,34.0,-29.2,-150.8,53.9,46.3,71.2,105.5,84.8,140.1,39.1,32.7,56.4,73.0,-30.5,26.9,181.2,53.7,53.5,15.1
15,Net exports of goods and services,0.4,0.3,0.0,0.0,0.1,0.3,-0.2,-0.1,0.1,1.0,0.8,1.5,1.0,-0.3,-2.2,-2.0,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,3.9,0.6,-3.4,4.1,-0.8,16.0,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20.0,-51.6,-102.7,-114.0,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102.0,-162.7,-259.6,-381.1,-376.7,-439.7,-522.0,-634.1,-739.9,-786.5,-735.9,-740.9,-419.2,-532.3,-579.6,-551.6,-478.5,-508.9,-524.3,-503.3,-543.3,-593.1,-577.3,-618.6,-849.2,-937.9,-786.5,-898.5,-926.5
16,"    Exports",5.9,4.4,2.9,2.0,2.0,2.6,2.8,3.0,4.0,3.8,4.0,4.9,5.5,4.4,4.0,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24.0,20.6,22.7,27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.3,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.9,1096.1,1026.8,998.0,1035.2,1176.4,1301.6,1470.2,1659.3,1835.3,1582.8,1857.2,2115.9,2217.7,2287.9,2378.5,2270.6,2235.6,2388.3,2538.1,2539.4,2163.8,2568.7,3036.4,3073.4,3215.4,3319.7
17,"        Goods",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,795.1,739.6,706.6,733.9,828.0,919.3,1043.1,1159.7,1291.0,1057.4,1272.9,1468.5,1529.6,1563.9,1617.0,1496.7,1447.6,1546.7,1669.3,1644.8,1421.6,1747.2,2070.3,2024.4,2058.0,2112.7
18,"        Services",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3.0,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,281.2,301.1,287.2,291.4,301.3,348.4,382.2,427.1,499.6,544.3,525.4,584.3,647.4,688.1,724.1,761.6,773.9,788.0,841.6,868.8,894.6,742.2,821.5,966.1,1049.0,1157.4,1206.9
19,"    Imports",5.6,4.1,2.9,1.9,1.9,2.2,3.0,3.2,4.0,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7.0,7.9,10.1,9.2,11.6,14.6,15.3,16.0,15.4,17.2,18.9,19.9,20.0,22.3,22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1252.5,1477.2,1403.6,1437.7,1557.1,1810.5,2041.5,2256.6,2395.2,2576.2,2001.9,2389.6,2695.5,2769.3,2766.4,2887.4,2794.9,2738.8,2931.6,3131.2,3116.7,2782.4,3417.9,3974.3,3859.9,4113.8,4246.1
20,"        Goods",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6.0,7.6,6.9,9.1,11.2,10.8,11.0,10.4,11.5,12.8,13.3,13.0,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.2,1176.2,1198.9,1299.0,1513.6,1722.8,1900.6,2002.7,2148.7,1588.1,1947.0,2231.1,2293.3,2293.9,2389.3,2289.6,2218.7,2369.9,2559.1,2516.7,2305.1,2839.6,3256.9,3092.6,3267.3,3350.3
21,"        Services",1.1,1.0,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1.0,1.9,2.8,3.1,3.7,1.9,2.0,2.5,2.4,2.5,3.4,4.5,5.0,5.1,5.7,6.1,6.7,7.1,7.0,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,201.3,226.0,227.4,238.9,258.1,296.9,318.7,356.0,392.5,427.5,413.8,442.5,464.3,476.1,472.5,498.1,505.4,520.1,561.7,572.1,600.0,477.3,578.3,717.4,767.3,846.5,895.9
22,Government consumption expenditures and gross investment,9.6,10.3,10.2,8.9,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.8,65.4,98.0,108.6,96.4,43.0,39.8,43.8,49.8,50.5,73.3,89.6,96.8,92.5,93.0,98.2,107.2,114.1,118.5,120.5,129.2,140.3,147.2,154.8,164.1,185.4,207.0,225.5,239.0,252.6,267.5,286.2,304.8,341.4,381.1,404.2,434.3,476.3,524.8,589.6,654.4,711.5,766.6,827.9,910.5,976.1,1031.5,1078.9,1151.9,1238.6,1299.0,1344.5,1364.9,1402.3,1449.4,1492.8,1547.1,1611.6,1719.9,1826.4,1950.0,2089.5,2210.6,2338.1,2475.3,2623.8,2790.6,2983.0,3076.3,3155.6,3147.9,3136.5,3132.6,3168.6,3233.4,3303.0,3397.1,3590.4,3786.0,3999.1,4208.7,4458.2,4741.2,5041.1,5275.1
23,"    Federal",1.9,2.0,2.1,2.0,2.5,3.5,3.6,5.8,5.3,5.9,6.2,6.8,19.1,56.7,89.5,100.1,87.2,32.0,25.7,27.0,30.4,29.4,49.9,64.8,70.3,63.3,61.0,63.1,68.5,71.5,73.6,72.9,77.4,85.5,87.9,90.3,93.2,106.6,120.0,128.0,131.2,132.8,134.5,141.6,146.2,158.8,173.7,184.8,200.3,218.9,240.6,274.9,314.0,348.3,382.4,411.8,452.9,481.7,502.8,511.4,534.1,562.4,582.9,588.5,580.2,574.7,576.7,579.2,583.3,585.5,610.7,633.1,670.2,743.1,826.8,892.1,947.8,1001.2,1051.0,1152.0,1220.8,1300.2,1299.8,1287.0,1227.4,1217.1,1222.8,1237.4,1266.1,1346.3,1419.5,1524.6,1604.4,1640.5,1765.7,1892.4,1966.9
24,"        National defense",1.1,1.1,1.1,1.1,1.0,0.9,1.2,1.4,1.4,1.5,1.7,2.8,15.4,53.5,86.8,97.3,84.8,28.0,21.1,20.9,22.3,22.6,43.7,57.4,61.1,54.4,52.4,55.0,59.9,62.2,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.3,744.1,730.4,729.4,748.3,795.1,849.5,884.9,909.1,929.6,1004.0,1082.7,1143.4
25,"        Nondefense",0.9,0.9,1.0,1.0,1.5,2.5,2.4,4.4,3.8,4.4,4.6,4.0,3.7,3.2,2.7,2.8,2.4,4.0,4.7,6.2,8.1,6.8,6.3,7.4,9.1,8.8,8.7,8.2,8.5,9.3,12.6,12.0,12.8,15.8,17.9,20.5,22.6,24.1,25.0,26.6,29.1,32.1,36.5,40.9,43.6,48.9,55.8,59.8,65.9,73.7,80.0,91.5,100.6,102.9,110.3,113.0,123.4,129.3,130.4,129.3,142.9,157.4,168.9,182.0,188.5,192.6,199.5,201.9,211.3,216.8,227.5,240.5,257.1,284.2,305.5,322.2,338.4,360.4,371.8,401.6,433.2,472.2,465.8,472.8,463.1,473.0,492.4,507.9,517.8,551.2,570.0,639.7,695.3,710.9,761.7,809.7,823.6
26,"    State and local",7.7,8.3,8.1,6.9,6.4,7.3,7.6,7.6,7.8,8.3,8.9,8.7,8.7,8.7,8.5,8.6,9.2,11.0,14.1,16.7,19.4,21.1,23.4,24.8,26.5,29.2,31.9,35.1,38.7,42.6,44.9,47.6,51.9,54.8,59.3,64.5,70.9,78.9,87.0,97.6,107.8,119.8,133.0,144.5,158.6,182.5,207.4,219.4,234.0,257.4,284.2,314.7,340.4,363.1,384.2,416.1,457.6,494.4,528.7,567.4,617.8,676.2,716.0,756.0,784.8,827.6,872.7,913.7,963.8,1026.1,1109.2,1193.4,1279.8,1346.4,1383.8,1446.0,1527.5,1622.7,1739.5,1831.1,1855.6,1855.4,1848.2,1849.5,1905.2,1951.5,2010.6,2065.7,2131.1,2244.1,2366.5,2474.5,2604.3,2817.7,2975.5,3148.7,3308.2
