Table 5.9.5. Gross Government Fixed Investment by Type
Table 5.9.5. Gross Government Fixed Investment by Type
"Last Revised on: September 26, 2025"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
31,"            Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.1,0.3,0.3,0.5,0.6,0.5,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.5,0.7,0.4,0.4,0.4,0.5,0.6,0.6,0.8,0.9,0.9,0.7,0.7,0.8,1.0,0.9,1.1,1.1,1.4,1.7,2.1,1.9,2.2,2.2,2.4,2.5,2.6,2.6,2.7,3.1,3.3,3.7,3.5,3.1,3.8,4.0,4.3,4.3,4.4,4.3,4.9,5.2,5.2,6.0,6.2,5.8,5.6,6.4,6.7,6.9,6.1,4.8,4.5,4.7,4.7,5.0,5.4,6.3,6.7,6.4,6.1,6.0,6.6,7.4
32,"            Office",0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.7,1.0,1.2,1.6,1.2,1.3,1.4,1.7,2.2,3.0,2.9,2.6,3.1,3.2,3.5,3.6,3.6,3.7,3.8,4.0,4.8,5.0,5.2,5.9,6.6,6.8,6.7,7.0,8.0,9.1,10.8,11.0,12.3,13.8,15.0,17.7,18.9,19.6,20.0,20.4,21.1,21.9,23.2,23.8,22.4,22.2,21.3,20.6,20.7,20.8,20.6,21.9,23.1,23.1,24.4,25.5,27.8,32.6,35.7
33,"            Commercial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3
34,"            Health care",0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.8,1.1,1.1,1.1,1.4,1.5,1.7,1.6,1.5,1.7,2.0,1.9,1.9,1.7,1.7,1.8,1.9,2.0,2.0,2.1,2.4,2.7,3.0,3.2,3.0,3.1,3.0,3.2,3.3,3.0,2.9,3.3,4.0,4.3,4.4,4.9,5.7,6.6,7.0,6.8,6.6,7.0,7.0,7.3,6.4,5.9,5.9,6.2,6.3,6.3,7.0,7.4,8.0,9.0,9.9
35,"            Educational",0.4,0.4,0.3,0.1,0.0,0.1,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.6,0.9,1.1,1.5,1.6,1.7,2.1,2.5,2.6,2.8,2.9,2.7,2.8,3.1,3.0,3.5,3.8,4.3,5.4,6.1,6.1,5.9,5.7,5.6,5.8,6.7,7.4,7.4,7.0,6.0,6.5,7.1,7.9,7.3,7.0,6.9,7.8,9.1,10.4,10.6,12.8,14.7,16.0,19.1,20.3,19.1,20.3,25.8,28.6,32.4,36.2,41.0,45.6,51.5,54.1,57.0,60.2,64.8,71.2,76.7,80.9,78.6,72.8,69.4,65.8,63.4,65.5,71.6,77.8,82.8,88.3,95.4,95.0,92.0,99.1,115.2,126.1
36,"            Public safety",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.8,1.0,1.2,1.3,1.4,1.5,1.8,2.2,2.7,3.0,3.4,4.0,4.5,4.4,3.8,3.5,3.7,3.9,3.7,3.9,4.2,4.5,4.5,4.6,4.2,4.0,4.0,4.0,4.6,5.3,5.4,5.3,4.9,4.9,4.6,4.1,4.1,4.0,3.8,3.7,4.0,4.4,5.4,5.2,5.2,6.2,6.7
37,"            Amusement and recreation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.8,1.2,1.2,1.0,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,2.0,2.2,2.4,2.6,3.1,3.0,2.9,2.8,2.8,3.4,4.1,4.6,4.8,5.1,6.2,6.9,6.8,6.4,6.4,6.9,7.4,8.4,8.7,8.6,7.5,6.8,6.3,6.0,6.2,6.8,7.7,7.8,8.4,9.6,9.4,8.6,9.1,10.6,11.6
38,"            Transportation",0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.7,1.0,1.2,1.3,1.3,1.1,1.2,1.4,1.9,1.9,2.1,2.1,2.3,2.8,3.5,3.7,4.0,4.1,4.1,4.2,4.6,5.0,5.7,6.3,7.1,7.7,8.4,9.4,9.5,9.5,10.1,10.3,10.3,11.6,14.8,16.3,17.1,18.6,18.2,17.5,18.1,19.5,21.5,23.9,23.9,23.2,23.6,24.8,28.0,29.1,28.4,29.9,32.1,37.8,41.1,36.2,34.4,39.8,44.3
39,"            Power",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.7,0.5,0.6,0.7,0.8,0.7,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.5,1.3,1.8,2.3,3.7,4.0,4.2,5.2,4.9,4.7,4.2,5.5,5.2,4.1,3.9,3.1,3.2,3.2,3.0,3.3,2.9,2.9,2.6,3.2,3.1,3.4,4.1,5.0,5.6,6.2,5.9,6.1,7.1,7.9,9.6,10.5,9.9,9.1,8.8,8.9,9.0,8.9,8.9,9.3,9.8,10.2,9.4,9.2,10.6,12.5,13.9
40,"            Highways and streets",1.3,1.5,1.3,0.9,0.8,0.9,0.8,1.3,1.2,1.4,1.3,1.3,1.0,0.7,0.4,0.3,0.3,0.7,1.3,1.6,2.0,2.1,2.3,2.6,3.0,3.6,3.8,4.3,4.8,5.4,5.7,5.3,5.7,6.2,6.9,7.0,7.4,8.2,8.3,9.1,9.0,9.7,10.4,10.1,10.2,11.8,12.8,12.0,12.1,13.7,16.6,17.8,17.7,16.8,17.4,21.0,23.3,24.9,26.7,28.7,28.5,31.9,32.2,32.2,34.0,37.0,37.3,39.1,41.5,44.5,48.3,52.1,56.7,58.2,57.1,60.1,66.5,72.5,75.7,77.5,80.3,80.4,81.3,82.2,80.3,82.5,88.1,91.7,95.2,101.2,104.1,104.3,103.0,111.0,127.2,139.0
41,"            Sewer systems",0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,0.9,1.1,1.0,1.4,1.2,1.3,1.1,1.6,1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.0,5.1,5.6,6.6,5.9,5.6,5.0,5.9,6.0,6.8,8.1,8.5,8.5,9.1,9.2,9.6,9.0,8.1,8.2,9.2,9.3,9.0,9.1,9.0,9.8,11.0,12.2,13.3,13.9,15.6,17.3,18.5,19.9,20.8,20.3,18.1,17.2,17.2,17.9,18.3,18.8,19.9,20.2,20.8,21.6,23.4,27.5,30.7
42,"            Water systems",0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1.0,1.3,1.1,1.3,1.5,1.3,1.1,1.0,1.1,1.1,1.4,2.0,1.9,1.7,2.2,2.5,3.2,3.1,3.2,2.8,3.4,3.9,4.7,5.3,5.3,5.5,6.1,6.3,5.6,5.0,5.2,5.0,6.2,7.4,8.0,8.6,8.6,9.4,10.5,11.1,11.6,12.0,13.1,13.9,14.4,15.0,14.6,14.2,14.3,14.7,14.8,15.2,15.4,15.3,15.9,16.5,17.2,17.6,18.5,21.4,23.9
43,"            Conservation and development",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.2,1.5,1.6,1.5,1.4,1.3,1.6,1.7,1.8,1.9,1.9,2.2,2.7,2.5,2.2,2.3,2.5,2.5,3.0,3.8,3.8,3.5,3.4,3.6,3.5,3.2,2.9,4.1,4.4,3.7,4.4,4.7,4.3,4.5,5.5,6.7,7.3
44,"            Other5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.7,1.0,0.4,0.3,0.6,1.3,0.6,0.1,0.4,0.9,0.9,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.8,0.9,1.0
45,"        Net purchases of used structures",0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1.0,1.0,1.0,0.9,1.0,1.1,1.0,1.0,1.0,0.9,1.0,0.9,0.8,1.0,1.1,1.1,1.2,1.3,1.5,1.7,2.0,2.2,2.3,2.7,3.2,3.3,3.2,3.0,3.0,3.1,2.9,2.9,3.6,4.0,4.0,1.3,5.3,5.9,5.9,4.9,5.3,6.9,6.2,5.4,4.7,3.9,3.1,3.2,3.0,3.3,3.5,3.9,4.2,4.5,5.1,4.9,5.1,5.5,5.9
46,Equipment,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32.0,33.3,21.2,1.6,1.3,2.3,3.3,2.6,8.0,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12.0,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15.0,13.7,12.9,13.0,9.2,9.8,10.9,14.4,16.6,19.2,21.0,23.1,27.3,31.1,36.0,42.3,50.2,58.5,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.7,79.0,86.1,87.4,88.2,96.4,99.8,106.2,113.7,122.6,131.9,145.3,147.4,148.1,144.4,143.1,134.3,131.0,131.1,133.1,140.7,149.6,161.3,169.8,170.0,174.3,185.1,194.3
47,"    Federal",0.0,0.0,0.1,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,4.1,16.2,31.9,33.2,21.1,1.4,1.0,1.8,2.8,2.1,7.4,10.5,11.7,9.5,8.0,8.0,8.4,8.6,10.9,10.4,11.8,12.8,11.3,10.7,9.4,11.0,12.9,11.3,10.3,10.3,6.3,6.4,7.1,9.8,11.5,14.0,15.5,17.0,20.2,23.0,27.4,32.9,39.4,45.8,53.0,57.5,60.2,55.7,58.8,62.7,62.2,60.7,54.6,49.4,48.4,49.6,43.6,44.3,48.7,48.6,49.8,58.3,62.3,69.0,76.6,83.5,87.9,100.1,104.4,108.5,105.8,104.0,95.1,92.2,91.4,91.3,96.5,104.2,114.9,120.6,119.3,118.2,126.0,133.8
48,"        National defense",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,3.6,15.7,31.5,33.0,21.0,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.3,7.8,7.8,8.2,8.5,10.7,10.1,11.5,12.5,10.9,10.1,8.9,10.4,12.2,10.8,9.7,9.6,5.5,5.3,6.0,8.2,9.9,12.1,13.3,14.3,17.5,19.8,24.1,29.1,35.2,41.1,47.9,52.7,55.0,49.6,51.5,54.6,53.4,50.7,44.7,41.9,39.8,39.9,33.6,34.1,36.8,37.8,39.9,46.4,50.0,55.7,61.4,66.0,71.8,82.6,86.6,89.3,87.3,85.2,78.8,74.7,72.6,72.3,77.3,84.1,94.7,95.9,96.0,93.3,101.4,108.6
49,"            Aircraft",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12.0,9.2,8.3,9.3,10.5,9.0,9.2,5.8,5.8,7.0,7.8,8.5,9.6,9.2,11.1,13.5,13.6,12.9,13.5,13.8,16.7,20.2,20.2,21.7,19.2,17.6,16.4,18.7,19.7,24.9,19.5,20.2,19.9,21.5,24.3
50,"            Missiles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9,3.3,2.9,2.7,3.3,3.3,3.5,4.0,4.0,4.5,4.3,4.3,5.1,5.6,5.1,6.9,6.4,6.6,6.6,4.8,4.7,4.7,5.1,7.2,6.6,6.4,6.6,6.8
51,"            Ships",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.8,1.6,2.2,2.2,2.4,3.1,3.9,4.3,4.1,5.1,6.2,7.1,8.0,9.0,8.9,8.8,8.6,10.0,10.8,10.2,10.1,8.7,8.1,8.0,6.8,6.1,6.4,6.7,6.6,7.2,8.4,9.3,9.8,9.6,10.5,10.3,11.0,11.1,11.8,11.7,12.0,12.5,13.3,13.5,14.4,14.1,15.5,17.2,18.6,18.3,18.2,19.5,18.9
52,"            Vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.4,0.3,0.3,0.3,0.5,0.6,0.8,0.9,1.2,1.1,2.1,3.4,4.2,3.7,3.8,4.3,3.7,3.1,3.2,3.4,2.8,1.8,1.0,1.1,1.2,1.4,1.5,1.7,1.9,2.0,2.7,3.2,2.8,3.9,4.9,6.4,8.9,9.3,9.4,7.1,5.8,3.9,2.9,2.4,2.5,2.7,3.2,3.9,4.8,5.2,5.2,4.6,5.5
53,"            Electronics",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.6,2.0,2.4,2.9,3.4,4.3,4.6,5.1,4.9,4.7,4.7,4.3,4.2,4.4,4.0,3.5,3.5,3.5,3.3,3.8,4.0,4.0,4.4,5.0,5.7,6.6,8.1,10.6,12.9,13.4,12.3,10.4,9.2,7.3,6.3,6.1,6.4,6.8,7.4,7.9,8.5,8.6,8.8,9.5,10.6
54,"            Other equipment",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-1.6,-0.4,1.1,1.8,3.7,3.7,3.7,4.4,4.5,5.7,6.6,7.1,8.9,10.8,9.7,10.5,11.0,12.6,12.8,15.4,14.8,12.5,12.7,13.6,15.2,14.0,13.8,14.8,14.9,14.9,18.0,19.8,22.3,23.8,24.5,27.2,32.0,33.8,33.6,32.8,31.2,27.0,26.4,26.4,27.8,30.4,33.6,35.7,37.3,37.2,34.6,39.6,42.5
55,"        Nondefense",0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.8,1.1,1.1,1.5,1.7,1.8,2.3,2.7,2.7,3.2,3.3,3.9,4.3,4.7,5.1,4.8,5.2,6.1,7.2,8.1,8.9,10.0,9.9,7.5,8.6,9.7,10.0,10.2,11.9,10.8,10.0,11.9,12.3,13.3,15.2,17.4,16.1,17.5,17.8,19.2,18.4,18.7,16.3,17.5,18.8,19.0,19.2,20.1,20.2,24.7,23.3,25.0,24.6,25.2
56,"    State and local",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.7,1.8,2.0,2.2,2.3,2.6,2.8,2.9,3.3,3.8,4.6,5.1,5.3,5.4,6.1,7.1,8.1,8.5,9.4,10.8,12.7,14.8,16.4,17.2,18.6,21.9,23.9,23.5,24.0,24.9,28.1,30.5,30.5,32.0,34.7,37.4,38.8,38.4,38.0,37.6,37.2,37.1,39.1,44.0,45.1,43.1,39.6,38.6,39.2,39.2,38.8,39.7,41.8,44.2,45.4,46.4,49.2,50.7,56.0,59.1,60.5
57,Intellectual property products2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.0,3.6,4.8,5.9,6.4,7.0,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17.0,17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31.0,35.0,39.6,45.0,49.7,55.2,62.2,71.0,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92.0,94.0,95.5,98.3,102.3,106.5,113.2,119.7,127.1,135.8,144.3,152.8,159.6,167.4,174.8,177.4,184.0,188.7,190.4,189.2,190.3,197.1,204.4,217.7,235.3,243.2,270.0,294.2,327.3,334.0,354.8
58,"    Federal",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2.0,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.4,12.6,13.4,15.0,15.7,16.5,17.1,16.8,17.2,18.4,19.3,20.3,22.0,24.1,26.3,29.1,32.8,37.0,42.1,46.3,51.4,57.9,66.0,69.6,75.6,78.1,79.2,81.4,80.8,80.2,79.5,80.0,81.8,82.7,84.1,86.8,90.0,95.0,100.6,107.7,115.5,122.8,130.2,134.9,140.8,146.5,149.1,156.1,159.8,160.7,156.9,155.7,159.8,164.1,173.0,186.9,192.7,217.0,236.4,263.3,265.8,280.9
59,"        National defense",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3.0,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.7,7.0,7.9,7.9,8.2,8.1,8.4,9.2,9.7,10.0,10.5,11.3,12.3,13.3,14.9,17.2,20.9,25.2,29.8,35.0,41.3,43.9,48.1,48.5,47.3,46.6,43.3,41.3,39.2,38.1,38.4,38.9,39.2,39.4,39.3,40.2,42.5,47.9,53.0,58.3,62.9,65.7,69.4,70.8,69.6,70.2,71.3,70.5,67.9,65.3,66.2,63.2,63.7,68.9,70.2,80.4,82.2,94.2,98.7,102.3
60,"            Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1.0,1.3,1.4,1.7,2.2,2.7,3.2,3.6,4.3,4.8,5.2,5.4,5.6,5.4,5.3,5.3,5.5,5.6,5.9,5.9,6.0,5.8,5.6,5.7,5.8,6.1,6.4,6.8,7.4,7.5,8.1,8.7,9.0,9.4,10.0,10.4,11.7,13.2,15.7,16.6,17.8,19.9,22.1,23.8,25.8
61,"            Research and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3.0,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.6,7.0,7.8,7.8,8.1,7.9,8.1,8.9,9.4,9.6,10.0,10.8,11.7,12.6,14.0,16.2,19.6,23.7,28.1,32.8,38.6,40.7,44.5,44.3,42.5,41.4,37.9,35.6,33.7,32.8,33.1,33.4,33.6,33.5,33.3,34.2,36.7,42.3,47.3,52.5,56.8,59.3,62.5,63.4,62.1,62.1,62.6,61.5,58.5,55.3,55.8,51.5,50.5,53.2,53.6,62.6,62.3,72.1,74.9,76.5
62,"        Nondefense",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.1,2.9,4.5,5.7,6.8,7.9,7.8,8.6,8.8,8.8,8.9,9.2,9.6,10.4,11.5,12.7,14.0,15.9,17.9,19.8,21.2,21.1,21.6,22.8,24.6,25.7,27.4,29.6,31.9,34.8,37.4,38.9,40.4,41.9,43.4,43.8,44.9,47.5,50.7,54.8,58.1,59.8,62.5,64.5,67.3,69.2,71.4,75.7,79.5,85.9,88.5,90.2,89.0,90.4,93.6,100.9,109.3,118.0,122.5,136.6,154.2,169.2,167.1,178.6
63,"            Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.0,1.1,1.3,1.6,2.1,2.5,2.8,3.3,3.7,4.1,4.3,4.8,5.2,5.8,6.2,6.6,6.7,6.8,6.8,7.0,7.3,7.7,9.2,10.4,11.6,12.3,11.1,10.9,11.5,12.6,13.4,14.6,16.1,16.2,17.6,19.2,20.3,21.2,22.4,23.0,25.6,28.7,32.9,34.4,36.4,41.0,45.6,48.7,52.1
64,"            Research and development",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.0,2.9,4.4,5.6,6.7,7.8,7.7,8.4,8.6,8.4,8.4,8.7,9.0,9.6,10.5,11.7,12.9,14.6,16.3,17.7,18.6,18.3,18.3,19.2,20.5,21.4,22.7,24.3,26.1,28.6,30.9,32.2,33.5,35.1,36.3,36.5,37.1,38.3,40.3,43.2,45.8,48.8,51.5,53.0,54.7,55.8,56.8,59.6,63.3,68.3,69.3,69.9,67.9,67.9,70.6,75.2,80.6,85.1,88.1,100.2,113.2,123.6,118.4,126.5
65,"    State and local",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.3,1.5,1.6,1.9,2.2,2.6,3.0,3.4,3.8,4.4,5.0,5.6,6.2,7.0,8.6,9.7,10.6,11.4,11.9,12.0,12.3,12.8,14.3,15.5,16.5,18.1,19.1,19.4,20.4,21.5,22.7,24.7,26.6,28.3,28.3,27.9,29.0,29.6,32.3,34.7,37.3,40.4,44.8,48.5,50.5,53.0,57.8,63.9,68.1,73.9
66,"        Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.2,1.4,1.8,2.1,2.2,2.4,2.9,4.1,4.8,5.4,6.1,6.3,6.3,6.3,6.5,7.4,8.2,8.7,9.5,9.8,9.4,9.9,10.5,11.1,11.9,12.5,13.2,13.0,12.8,13.4,13.9,15.3,16.8,18.2,20.4,23.4,26.7,27.9,30.1,33.5,37.5,40.1,44.1
