Table 7.1. Current-Cost Net Stock of Government Fixed Assets
Table 7.1. Current-Cost Net Stock of Government Fixed Assets
"Last Revised on: September 26, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
72,"  Intellectual property products",140.9,151.1,157.4,166.0,176.8,190.0,202.2,218.2
73,"    Software",37.8,42.1,44.9,47.9,52.2,57.8,62.3,68.9
74,"    Research and development",103.1,109.0,112.5,118.0,124.6,132.2,139.9,149.3
,Addenda:,,,,,,,,
75,"  General government fixed assets",11072.0,11634.5,12050.3,12454.6,13839.9,15324.2,15700.5,16242.3
76,"    Equipment",906.7,932.3,959.9,993.4,1064.9,1125.2,1167.7,1195.5
77,"    Structures",8981.4,9468.6,9833.0,10135.9,11353.7,12667.3,12938.0,13358.7
78,"    Intellectual property products",1183.9,1233.6,1257.4,1325.4,1421.4,1531.7,1594.8,1688.1
79,"  Government enterprise fixed assets",3335.3,3524.0,3640.7,3800.5,4305.0,4723.1,4891.0,5029.8
80,"    Equipment",107.5,113.0,115.7,117.9,125.9,138.4,146.9,152.1
81,"    Structures",3217.4,3399.7,3512.4,3669.0,4164.0,4567.9,4725.9,4857.5
82,"    Intellectual property products",10.4,11.3,12.6,13.7,15.1,16.8,18.2,20.2
83,"  Government nonresidential fixed assets",13978.9,14709.6,15229.0,15773.5,17614.2,19483.5,20020.7,20673.6
84,"    Equipment",1014.2,1045.3,1075.6,1111.3,1190.8,1263.5,1314.6,1347.5
85,"    Structures",11770.4,12419.3,12883.4,13323.2,14986.9,16671.4,17093.0,17617.7
86,"      Federal",1486.9,1542.4,1573.6,1617.4,1792.9,1965.6,2004.7,2032.0
87,"        National defense",703.0,720.7,727.6,754.9,836.6,892.2,910.3,926.1
88,"        Nondefense",783.9,821.7,846.0,862.6,956.3,1073.5,1094.4,1106.0
89,"      State and local",10283.5,10876.9,11309.8,11705.8,13194.1,14705.8,15088.3,15585.7
90,"    Intellectual property products",1194.4,1244.9,1270.0,1339.0,1436.4,1548.6,1613.0,1708.3

Legend/Footnotes
1. Consists of the fixed assets of general government and government enterprises.
"2. Due to a reclassification of underlying source data, ""Industrial Buildings"" for years 1987-1996 includes both defense-related and nondefense facilities, while ""Industrial Structures,"" for years 1997 forward includes only defense-related facilities.  For years 1997 forward, nondefense industrial facilities fall under several categories of nondefense structures."
"3. Consists of Department of defense structures, except family housing."
"4. Consists of lodging, religious, communication, sewage and waste disposal, water supply structures, and manufacturing."
"5. Consists of lodging, communication, and manufacturing."
