scenario,phi,K_base_b,K_base_basis,output_pct_gain,capital_pct_gain,gdp_b_gain,capital_b_gain,household_income_gain
Lower,0.02379561652214269,41891.281,structures + equipment (ex-IPP),0.12690995478476103,0.31727488696190254,37.182078552839286,132.91051443964295,138.53490664304513
Central,0.03660796894419056,37255.4725,midpoint,0.195242501035683,0.4881062525892074,57.202147953434405,181.84629070415272,213.12671413055156
Upper,0.04942032136623844,32619.664,structures only,0.263575047286605,0.6589376182165125,77.22221735402954,214.94323703182917,287.71852161805805
