bea_code,panel_year,den_m_2024,num_m_2024
110C,2015,12363.065135746378,0
110C,2016,12176.441024695909,0
110C,2017,13553.31276,0
110C,2018,8708.360033210112,0
110C,2019,10459.918222323558,0
110C,2020,11564.776064088646,0
110C,2021,11927.128727575684,0
110C,2022,13380.401458261926,0
110C,2023,15689.561750155526,0
110C,2024,16765,0
113F,2015,982.8147443178913,0
113F,2016,955.74511610763,0
113F,2017,1026.39876,0
113F,2018,1007.8319133374187,0
113F,2019,1126.0983650164828,83.17772014326295
113F,2020,839.5618987010071,0
113F,2021,567.2034013420631,0
113F,2022,896.0839746985324,0
113F,2023,1203.052611310247,0
113F,2024,1160,0
2110,2015,173037.42398100678,0
2110,2016,91868.7581807757,2068.7123725273377
2110,2017,128600.22154000001,0
2110,2018,147660.02312847174,1863.8899321960187
2110,2019,144138.03140764387,1279.657232973276
2110,2020,73967.16812039082,16387.844869539178
2110,2021,74608.59364104793,0
2110,2022,88470.97940360826,52.46393294487894
2110,2023,95531.95387623309,0
2110,2024,92444,2100
2120,2015,15216.398264411222,516.9081754827619
2120,2016,8870.638653397224,3933.3117909653106
2120,2017,8984.356600000001,2667.0204000000003
2120,2018,9343.413960108328,11816.972229522737
2120,2019,12529.123968041346,1513.8345066073857
2120,2020,11475.273219031933,12595.088418233372
2120,2021,13750.71815769694,8880.0876597209
2120,2022,14464.306312903125,0
2120,2023,18466.757828006044,3404.196803625915
2120,2024,18888,4686
2130,2015,8310.505039961523,0
2130,2016,7114.991419912357,0
2130,2017,3558.72116,0
2130,2018,5707.497242374523,0
2130,2019,5167.255906746089,0
2130,2020,10036.924680866994,0
2130,2021,5425.635976708595,0
2130,2022,9082.556071417443,0
2130,2023,12803.632061498358,0
2130,2024,13663,0
2211,2015,100839.82529497848,27603.91309675499
2211,2016,112390.38491624688,23824.695940987214
2211,2017,83029.19418,10445.913845514484
2211,2018,91383.86067566766,6370.878526101291
2211,2019,102803.82312537408,63411.921186465035
2211,2020,107018.93001534833,60814.636018838755
2211,2021,102554.03433942786,8309.459438571484
2211,2022,105336.03528806905,21594.154800112174
2211,2023,137180.91703942887,75091.6838729745
2211,2024,147542,46068.7
2212,2015,11005.319661478323,0
2212,2016,12580.529508129583,0
2212,2017,12398.9509,0
2212,2018,15700.609978848319,0
2212,2019,16291.316232982777,0
2212,2020,14575.097106277843,0
2212,2021,16278.127722386735,0
2212,2022,11643.845277786433,0
2212,2023,13171.730248541046,0
2212,2024,11996,0
2213,2015,2144.82432280314,1033.8163509655237
2213,2016,1809.433755170578,0
2213,2017,1742.9921200000001,1309.93805
2213,2018,2560.1859568663886,539.1967303852769
2213,2019,2584.9076106060174,623.8329010744721
2213,2020,2769.5457829521206,239.09051772545203
2213,2021,3220.2515689097772,139.05631774837676
2213,2022,2358.7784252017573,47.217539650391046
2213,2023,3282.9570015107984,0
2213,2024,3392,0
2300,2015,2159.986962617301,0
2300,2016,3326.489495023959,482.69955358971214
2300,2017,2487.87206,323.27520000000004
2300,2018,2984.886591416767,162.42469409136734
2300,2019,6252.4052403074265,0
2300,2020,7136.276138958559,0
2300,2021,3748.421617901419,0
2300,2022,6166.610678341071,0
2300,2023,8437.32917617087,0
2300,2024,8708,0
3210,2015,795.3493793428096,0
3210,2016,1039.8727525904085,0
3210,2017,1298.48872,0
3210,2018,1464.4849467254433,0
3210,2019,921.3532077407588,0
3210,2020,1206.397503088384,0
3210,2021,1439.3548679217945,0
3210,2022,1177.2906552830834,0
3210,2023,1121.2530141896498,0
3210,2024,1290,0
3270,2015,2016.631095283415,0
3270,2016,2089.3994962526112,0
3270,2017,2122.8404800000003,0
3270,2018,1344.6634510842705,0
3270,2019,1356.4366669516726,0
3270,2020,1691.7298319170443,0
3270,2021,1744.3029331594628,0
3270,2022,1927.5248963948525,0
3270,2023,1837.4982670260986,0
3270,2024,2118,0
3310,2015,1372.9081140822157,0
3310,2016,1568.083978375722,0
3310,2017,3807.91246,0
3310,2018,3747.750113665566,0
3310,2019,4421.215739922669,0
3310,2020,2856.5274211058286,0
3310,2021,2496.914758166028,0
3310,2022,3915.9079550057645,0
3310,2023,3731.8572296116367,0
3310,2024,4333,0
3320,2015,2328.1544223743595,0
3320,2016,2934.81328582545,0
3320,2017,3352.63322,0
3320,2018,3449.527724514203,0
3320,2019,3323.269834031598,0
3320,2020,4028.8886310036314,0
3320,2021,4629.111630307805,0
3320,2022,3911.710840370174,0
3320,2023,3728.864561424298,0
3320,2024,4310,0
3330,2015,2887.7936736970296,0
3330,2016,2613.47329729287,0
3330,2017,3632.80506,0
3330,2018,3545.384921027141,0
3330,2019,3623.9892837803177,0
3330,2020,4228.063976341107,0
3330,2021,4679.123113006783,0
3330,2022,4965.186613903344,0
3330,2023,4732.4059602452835,0
3330,2024,5470,0
3340,2015,5479.226660117276,0
3340,2016,3602.3178113609374,0
3340,2017,5285.5495200000005,0
3340,2018,7675.232470792891,0
3340,2019,4693.782730545977,0
3340,2020,4647.844925691611,0
3340,2021,5119.468119209976,0
3340,2022,6136.181597233041,0
