year,go_line,go_label,num_m_2024,den_m_2024,phi_aggregated,s,contribution
2020,3,"Agriculture, forestry, fishing, and hunting",0,839.5618987010071,0,0.020809064668098228,0
2020,7,Oil and gas extraction,16387.844869539178,73967.16812039082,0.22155566159929105,0.009875884782903632,0.002188058186954585
2020,8,"Mining, except oil and gas",12595.088418233372,11475.273219031933,1.097585057699908,0.004523913114669736,0.0049653794369941525
2020,9,Support activities for mining,0,10036.924680866994,0,0.0035695405444601948,0
2020,10,Utilities,61053.72653656421,124363.5729045783,0.490929338154425,0.023110786749191824,0.011345763243008799
2020,11,Construction,0,7136.276138958559,0,0.08441518949441645,0
2020,41,Air transportation,0,4772.644667390409,0,0.005927402188507296,0
2020,42,Rail transportation,18909.051772545205,11412.243046456782,1.6569093118303324,0.0034572614185531905,0.005728368637832526
2020,43,Water transportation,0,679.4652603601243,0,0.0018479272805527877,0
2020,45,Transit and ground passenger transportation,0,170.18146595290682,0,0.003424513340163647,0
2020,46,Pipeline transportation,0,13557.790120914911,0,0.002774230069285577,0
2020,47,Other transportation and support activities,558.658861328959,9499.90761052671,0.058806767837396356,0.013450103624276618,7.909571212217583e-4
2020,48,Warehousing and storage,0,4478.924063190208,0,0.006432658255088818,0
2020,81,"Arts, entertainment, recreation, accommodation, and food services",1046.3008647475012,14234.73417437203,0.07350336521431101,0.059063498523997324,0.004341365902844295
2021,3,"Agriculture, forestry, fishing, and hunting",0,567.2034013420631,0,0.02263377954614425,0
2021,7,Oil and gas extraction,0,74608.59364104793,0,0.017702397410392152,0
2021,8,"Mining, except oil and gas",8880.0876597209,13750.71815769694,0.6457908276412667,0.004935596992278383,0.003187363266547204
2021,9,Support activities for mining,0,5425.635976708595,0,0.0032201503860808584,0
2021,10,Utilities,8448.51575631986,122052.41363072438,0.06922039069117686,0.02504467747917861,0.0017336023598432618
2021,11,Construction,0,3748.421617901419,0,0.08369019118589203,0
2021,41,Air transportation,0,4919.422188414065,0,0.008214755369727215,0
2021,42,Rail transportation,0,10284.068552075127,0,0.0035151903429207275,0
2021,43,Water transportation,0,737.9743178751573,0,0.0017070168931449575,0
2021,45,Transit and ground passenger transportation,0,352.51996341474455,0,0.0036964291735509325,0
2021,46,Pipeline transportation,703.0167014613778,9686.370344209297,0.07257792924277927,0.002697508176821661,1.9577955758918103e-4
2021,47,Other transportation and support activities,0,10851.27195341719,0,0.014975385237886503,0
2021,48,Warehousing and storage,0,4080.205112880002,0,0.006697407020265031,0
2021,81,"Arts, entertainment, recreation, accommodation, and food services",0,10508.510328090051,0,0.0698190983578919,0
2022,3,"Agriculture, forestry, fishing, and hunting",0,896.0839746985324,0,0.024648238698732665,0
2022,7,Oil and gas extraction,52.46393294487894,88470.97940360826,5.930072584088429e-4,0.025093457585224875,1.4880602486612788e-5
2022,8,"Mining, except oil and gas",0,14464.306312903125,0,0.005300407605566771,0
2022,9,Support activities for mining,0,9082.556071417443,0,0.0037881986290328774,0
2022,10,Utilities,21641.37233976257,119338.65899105724,0.18134418907274874,0.02683595219270302,0.004866543988380783
2022,11,Construction,0,6166.610678341071,0,0.08459158843352038,0
2022,41,Air transportation,0,4750.0844888293395,0,0.011379948262494916,0
2022,42,Rail transportation,0,9754.094413111894,0,0.00365770343816447,0
2022,43,Water transportation,0,333.67061352943006,0,0.0025676847850283637,0
2022,45,Transit and ground passenger transportation,0,538.279952014458,0,0.0045711697742433196,0
